id,company,,job-title,location,posting-link
5590e192f01ef4a8,Class Over Inc,,Remote Children's Technology Teacher - Coding,Remote,/company/Deam-Go-Inc/jobs/Teacher-5590e192f01ef4a8?fccid=9f5079483d5b4f74&vjs=3
24f625c9d9e47413,Heir8fied,,Software Engineer,Remote,/company/Heir8fied/jobs/Software-Engineer-24f625c9d9e47413?fccid=6c468f375032a23e&vjs=3
5449dcd71aab9d2b,Calibrex,,Sports-Focused Accelerometer/IMU Algorithm Developer,Remote,/company/CALIBREX/jobs/Algorithm-Developer-5449dcd71aab9d2b?fccid=82e8adb31d9e314d&vjs=3
2a2d575a699b463e,Isos Technology,,Other Linux Engineering Team Opportunities,Remote,/rc/clk?jk=2a2d575a699b463e&fccid=32dfdbcac564f077&vjs=3
8f5611b46d25b3a,Sun River Health,,Director of Informatics,Remote,/pagead/clk?mo=r&ad=-6NYlbfkN0DVnlXHWiKipX-JgC1jFaqFRl-V4FVFOkXmn5s9cDuLapwTLjsVJTBRYHrlpHSbq8qTmEZ9af0SFhfOiOa6TjThHfmbK4nhM8d0Yuuc4EV1vU9_-OFyc5vQOMtL0u9VF2-yAJOfYZkxOiqjq40acI0WJjoftj_9bX8RuS-mFigrWvHx4YPs6WUgf3nQwvjmJmyDEwpKaxxEJQ1vUKfqIP80jIXvWkOexTlkeXSotm_9c1dHw07iHNglK_7RzTTkMXAPlYl4Ex2oLO9sTbiumv40MANjk280cL7sPk99pBjwyY7CBwj3kwhQ_YIbaILJ-uqDpOIckD8Hs6us094oh-emhd3ALYWFXm4SPalb-FePL5N39zNCBEvqiHAgzYB_pc3uRXFacsZz6oduuNKnP4BfCzXjj19YyQ-x3NOHgGIkQn0vJ8h2qyammkQtMwsna8yznEJw02BWlAiy7P4RnlXGW9mIxbuI1jiC6OOQPX4ulzLze3lV3DBCw4ewj4wR34lNNkkGWA0ASAJzg3bSVygCFonU9qHZxseK1ksSZU7YBEKabaEkzXNpEkCJ9-UGMs6K_jOiotUsJHGP4qbxH4Fo&xkcb=SoCx-_M3IF2e22XI6B0YbzkdCdPP&p=4&fvj=1&vjs=3
ad354720dc2e13a6,Community Tech Alliance,,Software Engineer,Remote,/rc/clk?jk=ad354720dc2e13a6&fccid=dd616958bd9ddc12&vjs=3
60cbbc1cbbb76376,Medical Informatics Engineering,,Software Developer,Remote,/rc/clk?jk=60cbbc1cbbb76376&fccid=56452ba1c6719a42&vjs=3
e53c56120a0f127d,PROLIM GLOBAL CORPORATION,,Data science Training,Remote,/company/MINDFUL-TECH-SOLUTIONS-INC/jobs/Data-Scientist-e53c56120a0f127d?fccid=4247fdda997ca37b&vjs=3
b4f0e295972c4dcb,Ampcus Incorporated,,Data Engineer - Python,Remote,/rc/clk?jk=b4f0e295972c4dcb&fccid=cd6d2c9c59529b1c&vjs=3
f420fd336c4b892f,ClimateAI,,Jr. Data Scientist,Remote,/rc/clk?jk=f420fd336c4b892f&fccid=90364bdd6d185b45&vjs=3
b0f7c757625f7b45,COGNIZE TECH SOLUTIONS,,Data Analyst,Remote,/company/Cognize-tech-solutions/jobs/Data-Analyst-b0f7c757625f7b45?fccid=f4398aa555827ed9&vjs=3
67d164588518b1e3,BRS,,Data Analyst,Remote,/rc/clk?jk=67d164588518b1e3&fccid=e2c1d9254247b2b7&vjs=3
cf7f96f60af902b8,DTN,,Python Back End Developer,Remote in Minnesota,/rc/clk?jk=cf7f96f60af902b8&fccid=e800d97a89d68322&vjs=3
0f775a3814a0771f,"Stefanini, Inc",,BI Data Engineer (Remote),"Remote in New York, NY",/rc/clk?jk=0f775a3814a0771f&fccid=7e646b8cb4a11b13&vjs=3
0cc2428adbe9d89f,"Serena and Lily, Inc",,DEVOPS ENGINEER,"Remote in Sausalito, CA 94965",/rc/clk?jk=0cc2428adbe9d89f&fccid=08be438cb06f2ef0&vjs=3
6a4a46ce19fcd181,Colombo Capital Us Inc,,Data Analyst,Remote,/company/Colombo-Capital-Us-Inc/jobs/Data-Analyst-6a4a46ce19fcd181?fccid=04f3a6e7749406d3&vjs=3
